Matrix,Time(ns)
eris1176,17266
std1_Jac3_db,283837
std1_Jac3,639823
lp_wood1p,32918
jendrec1,39844
lowThrust_5,221374
hangGlider_4,136227
brainpc2,169516
hangGlider_3,129068
lowThrust_7,164236
lowThrust_11,196249
lowThrust_3,128781
lowThrust_6,164149
lowThrust_12,163720
hangGlider_5,77821
Journals,18133
bloweybl,83601
heart1,328954
TSOPF_FS_b9_c6,136057
Sieber,20851
case9,74243
c-30,121726
vsp_c-30_data_data,90530
c-32,41137
freeFlyingRobot_10,120257
freeFlyingRobot_11,30645
freeFlyingRobot_12,34619
lowThrust_10,158658
lowThrust_13,184785
lowThrust_4,149049
lowThrust_8,163178
lowThrust_9,153104
lp_fit2p,35482
nd12k,8.86144e+06
std1_Jac2_db,270995
std1_Jac2,624396
