Matrix,1 Threads,2 Threads,4 Threads,8 Threads
Journals,29555,23442,18133,17094
Sieber,25470,22477,20851,21336
TSOPF_FS_b9_c6,143115,122809,136057,138423
bloweybl,183329,103210,83601,59984
brainpc2,161788,101572,169516,163910
c-30,72160,49593,121726,3.88547e+06
c-32,67624,48555,41137,3.89615e+06
case9,139263,99759,74243,131526
eris1176,34765,7.08295e+06,17266,19052
freeFlyingRobot_10,63582,124050,120257,3.90705e+06
freeFlyingRobot_11,57468,127083,30645,3.92975e+06
freeFlyingRobot_12,59087,50866,34619,3.87318e+06
hangGlider_3,80144,56563,129068,132065
hangGlider_4,147965,85182,136227,132740
hangGlider_5,163860,89876,77821,119872
heart1,896247,502305,328954,247768
jendrec1,72833,53543,39844,137346
lowThrust_10,231465,236596,158658,184326
lowThrust_11,252709,224525,196249,178581
lowThrust_12,336392,145123,163720,187259
lowThrust_13,237675,143274,184785,191507
lowThrust_3,74199,59907,128781,160441
lowThrust_4,161733,103521,149049,177092
lowThrust_5,216930,128733,221374,149785
lowThrust_6,218892,137262,164149,144806
lowThrust_7,227774,145293,164236,179792
lowThrust_8,231891,144233,163178,192155
lowThrust_9,264486,140112,153104,148146
lp_fit2p,75402,55904,35482,34290
lp_wood1p,47868,37014,32918,6.69235e+06
nd12k,3.343e+07,1.69719e+07,8.86144e+06,4.83508e+06
std1_Jac2,1.83666e+06,1.00352e+06,624396,419032
std1_Jac2_db,759640,425087,270995,244790
std1_Jac3,2.05074e+06,1.0453e+06,639823,478704
std1_Jac3_db,732322,394017,283837,256118
vsp_c-30_data_data,146596,94542,90530,4.01602e+06
