Matrix,Time(ns)
lowThrust_8,3.08206e+06
eris1176,204730
case9,1.82762e+06
freeFlyingRobot_10,530952
freeFlyingRobot_11,556364
nd12k,3.35976e+08
std1_Jac3,2.48855e+07
lp_wood1p,603163
jendrec1,1.19674e+06
lowThrust_5,2.81594e+06
Sieber,230211
hangGlider_4,1.95647e+06
brainpc2,2.24596e+06
hangGlider_3,1.15347e+06
freeFlyingRobot_12,549624
lp_fit2p,1.0298e+06
lowThrust_7,2.71454e+06
std1_Jac2,2.1491e+07
c-32,687539
TSOPF_FS_b9_c6,1.97446e+06
c-30,707639
lowThrust_11,2.88193e+06
lowThrust_3,912860
lowThrust_10,2.83596e+06
lowThrust_6,2.66749e+06
lowThrust_12,2.85387e+06
hangGlider_5,2.03459e+06
Journals,260785
lowThrust_4,1.96458e+06
bloweybl,2.3715e+06
lowThrust_9,2.78648e+06
vsp_c-30_data_data,2.24345e+06
lowThrust_13,2.85693e+06
heart1,1.18999e+07
