Matrix,1 Threads,2 Threads,4 Threads,8 Threads
Journals,208319,215546,204224,209680
Sieber,232295,243428,231149,257051
TSOPF_FS_b9_c6,1.80325e+06,1.77709e+06,1.65839e+06,1.80581e+06
bloweybl,2.31787e+06,2.32361e+06,2.20398e+06,2.24406e+06
brainpc2,2.18944e+06,2.06148e+06,2.01158e+06,4.82455e+06
c-30,665948,663481,8.26115e+06,712266
c-32,641352,652410,650286,672228
case9,1.70024e+06,1.63763e+06,5.42853e+06,1.74609e+06
eris1176,202861,209569,217273,8.07513e+06
freeFlyingRobot_10,543998,541686,563532,557914
freeFlyingRobot_11,540889,543773,552320,559605
freeFlyingRobot_12,560877,564001,567853,586509
hangGlider_3,1.08591e+06,998956,1.11549e+06,8.60575e+06
hangGlider_4,1.84131e+06,1.72336e+06,1.63314e+06,9.47028e+06
hangGlider_5,2.04828e+06,1.81834e+06,1.94968e+06,1.95028e+06
heart1,1.12115e+07,8.8764e+06,7.80211e+06,7.03621e+06
jendrec1,1.20921e+06,1.12717e+06,1.14564e+06,1.04312e+06
lowThrust_10,2.99085e+06,2.43763e+06,2.73724e+06,2.68503e+06
lowThrust_11,2.73692e+06,2.8203e+06,2.61496e+06,2.6163e+06
lowThrust_12,2.75437e+06,2.75319e+06,2.81831e+06,2.56974e+06
lowThrust_13,2.89611e+06,2.80524e+06,2.71318e+06,2.69676e+06
lowThrust_3,944528,910651,901783,925400
lowThrust_4,2.04608e+06,1.8182e+06,1.74272e+06,1.90946e+06
lowThrust_5,2.57913e+06,2.17842e+06,2.39899e+06,2.38003e+06
lowThrust_6,2.66656e+06,2.56232e+06,2.43198e+06,2.48297e+06
lowThrust_7,2.69912e+06,2.33346e+06,2.59984e+06,2.5066e+06
lowThrust_8,2.62402e+06,2.38531e+06,2.42404e+06,2.54147e+06
lowThrust_9,2.75836e+06,2.41499e+06,2.65786e+06,2.5987e+06
lp_fit2p,1.04892e+06,1.01686e+06,1.00686e+06,1.00762e+06
lp_wood1p,610394,477635,438647,487649
nd12k,3.06178e+08,2.73055e+08,2.61211e+08,2.49776e+08
std1_Jac2,2.01149e+07,1.69896e+07,1.74516e+07,1.51439e+07
std1_Jac2_db,8.08778e+06,8.07087e+06,7.35928e+06,7.35318e+06
std1_Jac3,2.27787e+07,1.91435e+07,1.80302e+07,1.80819e+07
std1_Jac3_db,9.00247e+06,8.34147e+06,7.51332e+06,7.21315e+06
vsp_c-30_data_data,1.56542e+06,1.47725e+06,9.01578e+06,1.54201e+06
